session_id,user_query,url,title,snippet
16,"when was last time capulin erupted
",https://www.nps.gov/cavo/learn/nature/volcanic-fields.htm,Volcanic Fields - Capulin Volcano National Monument (U.S. ...,"Apr 20, 2020 ... Eruptions in the RCVF began approximately 9 million years ago, with Capulin's eruption taking place between 56,000 and 62,000 years ago."
16,"when was last time capulin erupted
",https://nmnaturalhistory.org/volcanoes/raton-clayton-volcanic-field-capulin-volcano,Raton-Clayton Volcanic Field: Capulin Volcano | New Mexico ...,"It is similar in size and morphology, and probably eruptive characteristics, to Paricutin volcano, Mexico which erupted in 1943. A detailed study of Capulin (..."
17,"how many people died during pennsylvania flood
",https://www.census.gov/history/www/homepage_archive/2019/may_2019.html,May 2019 - History - U.S. Census Bureau,"May 31, 2019 ... When the water subsided, 2,208 people were dead, making the ""Johnstown Flood"" the deadliest disaster in U.S. history until the 1900..."
17,"how many people died during pennsylvania flood
",https://www.nps.gov/jofl/faqs.htm,Frequently Asked Questions - Johnstown Flood National Memorial ...,"Mar 12, 2022 ... The three remembered most happened on May 31, 1889, when at least 2,209 people died, the St. Patrick's Day flood of 1936, in which almost..."
17,"how many people died during pennsylvania flood
",https://www.jaha.org/attractions/johnstown-flood-museum/flood-history/facts-about-the-1889-flood/,Facts about the 1889 Flood - Johnstown Area Heritage Association,"Statistics about the great disaster  2,209 people died.  99 entire families died, including 396 children  124 women and 198 men were left widowed.  More than..."
17,"how many people died during pennsylvania flood
",https://www.history.com/this-day-in-history/the-johnstown-flood,"Over 2,000 die in the Johnstown Flood","Over 2,000 die in the Johnstown Flood  Citation Information  Fact Check  Also on This Day in History May | 31..."
17,"how many people died during pennsylvania flood
",https://www.jaha.org/attractions/johnstown-flood-museum/flood-history/1936-1977-floods/,1936 & 1977 Floods - Johnstown Area Heritage Association,"About two dozen people died in the flood, while 77 buildings were destroyed ... In the immediate aftermath of the 1936 flood, the Pennsylvania General..."
18,"where are oregon pipe cactuses located in arizona
",https://www.nps.gov/orpi/,Organ Pipe Cactus National Monument (U.S. National Park Service),"Dec 19, 2022 ... The sights and sounds of Organ Pipe Cactus National Monument, an International Biosphere Reserve, reveal a thriving community of plants and..."
18,"where are oregon pipe cactuses located in arizona
",https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument,Organ Pipe Cactus National Monument - Wikipedia,Organ Pipe Cactus National Monument is a U.S. national monument and UNESCO biosphere reserve located in extreme southern Arizona that shares a border with...
18,"where are oregon pipe cactuses located in arizona
",https://www.nps.gov/orpi/planyourvisit/maps.htm,Maps - Organ Pipe Cactus National Monument (U.S. National Park ...,"Dec 19, 2022 ... Arizona NPS Sites. The Arizona's National Park Service Units map features the NPS sites and their locations found throughout the state. Visit..."
18,"where are oregon pipe cactuses located in arizona
",https://www.visitarizona.com/places/parks-monuments/organ-pipe-cactus-national-monument/,Organ Pipe Cactus National Monument,"Roosevelt established Organ Pipe Cactus National Monument, an area spanning more than 330,000 acres of the Sonoran Desert in southwestern Arizona. Home to over..."
18,"where are oregon pipe cactuses located in arizona
",https://www.nps.gov/orpi/planyourvisit/camping.htm,Camping - Organ Pipe Cactus National Monument (U.S. National ...,"Dec 19, 2022 ... Water is not available and fires are not permitted. Camping permits are $16.00 per night. Holders of the Senior or Access Pass receive a 50%..."
19,"organ pipe cactus what is the name of the desert
",https://www.nps.gov/orpi/,Organ Pipe Cactus National Monument (U.S. National Park Service),"Dec 19, 2022 ... Life Abounds in the Sonoran Desert ... Look closely. Look again. The sights and sounds of Organ Pipe Cactus National Monument, an International..."
19,"organ pipe cactus what is the name of the desert
",https://en.wikipedia.org/wiki/Organ_Pipe_Cactus_National_Monument,Organ Pipe Cactus National Monument - Wikipedia,Organ Pipe Cactus National Monument is a U.S. national monument and UNESCO biosphere reserve located in extreme southern Arizona that shares a border with...
19,"organ pipe cactus what is the name of the desert
",https://www.nps.gov/articles/organ-pipe-cactus.htm,Organ Pipe Cactus (U.S. National Park Service),"Oct 3, 2016 ... The namesake species of Organ Pipe Cactus National Monument, the organ pipe cactus ... organ pipes also grow in marginal desert habitat."
19,"organ pipe cactus what is the name of the desert
",https://uapress.arizona.edu/book/the-organ-pipe-cactus,Organ Pipe Cactus | UAPress,"... pipe cactus got its name. In the United States, these spectacular and intriguing plants are found exclusively in a small area of the Sonoran Desert in..."
